Participante,VLT,Perfil,ID_Maze,tipo_De_Frase,Resposta,RT_Alvo,Ordem
N1,-,Nativo,1,Temp.Red.IV,2,1461,-
N1,-,Nativo,2,Temp.Red.IV,1,894,-
N1,-,Nativo,3,Temp.Red.IV,2,948,-
N1,-,Nativo,4,Temp.Red.IV,2,1348,-
N1,-,Nativo,5,Temp.Red.IV,2,1135,-
N1,-,Nativo,6,Temp.Red.IV,2,1061,-
N1,-,Nativo,7,Temp.Red.IV,2,2027,-
N1,-,Nativo,8,Temp.Red.IV,2,1118,-
N1,-,Nativo,9,Non.Temp.Red.IV,1,1149,-
N1,-,Nativo,10,Non.Temp.Red.IV,2,806,-
N1,-,Nativo,11,Non.Temp.Red.IV,2,1659,-
N1,-,Nativo,12,Non.Temp.Red.IV,2,1281,-
N1,-,Nativo,13,Non.Temp.Red.IV,1,3315,-
N1,-,Nativo,14,Non.Temp.Red.IV,1,925,-
N1,-,Nativo,15,Non.Temp.Red.IV,1,933,-
N1,-,Nativo,16,Non.Temp.Red.IV,2,1890,-
N1,-,Nativo,17,Temp.Red.PV,1,1171,-
N1,-,Nativo,18,Temp.Red.PV,1,981,-
N1,-,Nativo,19,Temp.Red.PV,1,1085,-
N1,-,Nativo,20,Temp.Red.PV,1,786,-
N1,-,Nativo,21,Temp.Red.PV,1,696,-
N1,-,Nativo,22,Temp.Red.PV,2,1596,-
N1,-,Nativo,23,Temp.Red.PV,1,1205,-
N1,-,Nativo,24,Temp.Red.PV,2,982,-
N3,-,Nativo,1,Temp.Red.IV,1,1533,-
N3,-,Nativo,2,Temp.Red.IV,2,1428,-
N3,-,Nativo,3,Temp.Red.IV,2,659,-
N3,-,Nativo,4,Temp.Red.IV,1,1710,-
N3,-,Nativo,5,Temp.Red.IV,1,1295,-
N3,-,Nativo,6,Temp.Red.IV,1,1799,-
N3,-,Nativo,7,Temp.Red.IV,2,760,-
N3,-,Nativo,8,Temp.Red.IV,1,781,-
N3,-,Nativo,9,Non.Temp.Red.IV,2,914,-
N3,-,Nativo,10,Non.Temp.Red.IV,2,769,-
N3,-,Nativo,11,Non.Temp.Red.IV,1,2322,-
N3,-,Nativo,12,Non.Temp.Red.IV,2,1068,-
N3,-,Nativo,13,Non.Temp.Red.IV,2,1222,-
N3,-,Nativo,14,Non.Temp.Red.IV,2,952,-
N3,-,Nativo,15,Non.Temp.Red.IV,2,739,-
N3,-,Nativo,16,Non.Temp.Red.IV,1,1768,-
N3,-,Nativo,17,Temp.Red.PV,1,950,-
N3,-,Nativo,18,Temp.Red.PV,1,875,-
N3,-,Nativo,19,Temp.Red.PV,2,1183,-
N3,-,Nativo,20,Temp.Red.PV,2,1174,-
N3,-,Nativo,21,Temp.Red.PV,2,1512,-
N3,-,Nativo,22,Temp.Red.PV,2,935,-
N3,-,Nativo,23,Temp.Red.PV,2,905,-
N3,-,Nativo,24,Temp.Red.PV,2,932,-
N4,-,Nativo,1,Temp.Red.IV,1,699,-
N4,-,Nativo,2,Temp.Red.IV,2,820,-
N4,-,Nativo,3,Temp.Red.IV,2,723,-
N4,-,Nativo,4,Temp.Red.IV,2,819,-
N4,-,Nativo,5,Temp.Red.IV,1,1219,-
N4,-,Nativo,6,Temp.Red.IV,2,859,-
N4,-,Nativo,7,Temp.Red.IV,1,700,-
N4,-,Nativo,8,Temp.Red.IV,1,1027,-
N4,-,Nativo,9,Non.Temp.Red.IV,1,883,-
N4,-,Nativo,10,Non.Temp.Red.IV,1,1202,-
N4,-,Nativo,11,Non.Temp.Red.IV,1,1003,-
N4,-,Nativo,12,Non.Temp.Red.IV,2,715,-
N4,-,Nativo,13,Non.Temp.Red.IV,2,739,-
N4,-,Nativo,14,Non.Temp.Red.IV,2,1260,-
N4,-,Nativo,15,Non.Temp.Red.IV,2,644,-
N4,-,Nativo,16,Non.Temp.Red.IV,1,1707,-
N4,-,Nativo,17,Temp.Red.PV,1,1084,-
N4,-,Nativo,18,Temp.Red.PV,2,1267,-
N4,-,Nativo,19,Temp.Red.PV,2,884,-
N4,-,Nativo,20,Temp.Red.PV,2,739,-
N4,-,Nativo,21,Temp.Red.PV,2,619,-
N4,-,Nativo,22,Temp.Red.PV,2,675,-
N4,-,Nativo,23,Temp.Red.PV,1,619,-
N4,-,Nativo,24,Temp.Red.PV,1,763,-
N8,-,Nativo,1,Temp.Red.IV,2,1819,-
N8,-,Nativo,2,Temp.Red.IV,1,757,-
N8,-,Nativo,3,Temp.Red.IV,2,1091,-
N8,-,Nativo,4,Temp.Red.IV,1,749,-
N8,-,Nativo,5,Temp.Red.IV,1,647,-
N8,-,Nativo,6,Temp.Red.IV,2,1754,-
N8,-,Nativo,7,Temp.Red.IV,1,1315,-
N8,-,Nativo,8,Temp.Red.IV,2,725,-
N8,-,Nativo,9,Non.Temp.Red.IV,1,921,-
N8,-,Nativo,10,Non.Temp.Red.IV,1,1185,-
N8,-,Nativo,11,Non.Temp.Red.IV,1,1939,-
N8,-,Nativo,12,Non.Temp.Red.IV,2,924,-
N8,-,Nativo,13,Non.Temp.Red.IV,2,1016,-
N8,-,Nativo,14,Non.Temp.Red.IV,2,746,-
N8,-,Nativo,15,Non.Temp.Red.IV,1,567,-
N8,-,Nativo,17,Temp.Red.PV,2,1038,-
N8,-,Nativo,18,Temp.Red.PV,1,1342,-
N8,-,Nativo,19,Temp.Red.PV,2,554,-
N8,-,Nativo,20,Temp.Red.PV,1,601,-
N8,-,Nativo,21,Temp.Red.PV,2,768,-
N8,-,Nativo,22,Temp.Red.PV,2,2785,-
N8,-,Nativo,24,Temp.Red.PV,1,656,-
N9,-,Nativo,1,Temp.Red.IV,1,1996,-
N9,-,Nativo,2,Temp.Red.IV,2,1133,-
N9,-,Nativo,3,Temp.Red.IV,2,1132,-
N9,-,Nativo,4,Temp.Red.IV,2,1369,-
N9,-,Nativo,5,Temp.Red.IV,2,1133,-
N9,-,Nativo,6,Temp.Red.IV,1,1644,-
N9,-,Nativo,7,Temp.Red.IV,1,1092,-
N9,-,Nativo,8,Temp.Red.IV,1,860,-
N9,-,Nativo,9,Non.Temp.Red.IV,1,1642,-
N9,-,Nativo,10,Non.Temp.Red.IV,2,1150,-
N9,-,Nativo,11,Non.Temp.Red.IV,1,2052,-
N9,-,Nativo,12,Non.Temp.Red.IV,2,1252,-
N9,-,Nativo,13,Non.Temp.Red.IV,1,1681,-
N9,-,Nativo,14,Non.Temp.Red.IV,1,1603,-
N9,-,Nativo,15,Non.Temp.Red.IV,2,1192,-
N9,-,Nativo,16,Non.Temp.Red.IV,2,1368,-
N9,-,Nativo,17,Temp.Red.PV,2,1076,-
N9,-,Nativo,18,Temp.Red.PV,1,899,-
N9,-,Nativo,19,Temp.Red.PV,1,898,-
N9,-,Nativo,20,Temp.Red.PV,1,1091,-
N9,-,Nativo,21,Temp.Red.PV,1,996,-
N9,-,Nativo,23,Temp.Red.PV,2,1288,-
N9,-,Nativo,24,Temp.Red.PV,2,2131,-
N10,-,Nativo,1,Temp.Red.IV,2,2078,-
N10,-,Nativo,2,Temp.Red.IV,2,1708,-
N10,-,Nativo,3,Temp.Red.IV,2,1680,-
N10,-,Nativo,4,Temp.Red.IV,2,1790,-
N10,-,Nativo,5,Temp.Red.IV,1,1867,-
N10,-,Nativo,6,Temp.Red.IV,2,1552,-
N10,-,Nativo,7,Temp.Red.IV,1,1844,-
N10,-,Nativo,8,Temp.Red.IV,2,1927,-
N10,-,Nativo,9,Non.Temp.Red.IV,1,1294,-
N10,-,Nativo,10,Non.Temp.Red.IV,1,985,-
N10,-,Nativo,11,Non.Temp.Red.IV,2,1115,-
