Participante,VLT,Perfil,ID_Maze,tipo_De_Frase,Resposta,RT_Alvo,Ordem
1,5,Bilingue,1,Temp.Red.IV,2,1636,A
1,5,Bilingue,2,Temp.Red.IV,2,2628,A
1,5,Bilingue,3,Temp.Red.IV,1,1092,A
1,5,Bilingue,4,Temp.Red.IV,1,748,A
1,5,Bilingue,5,Temp.Red.IV,2,1172,A
1,5,Bilingue,6,Temp.Red.IV,1,1132,A
1,5,Bilingue,7,Temp.Red.IV,2,932,A
1,5,Bilingue,8,Temp.Red.IV,1,2012,A
1,5,Bilingue,9,Non.Temp.Red.IV,1,980,A
1,5,Bilingue,10,Non.Temp.Red.IV,2,1732,A
1,5,Bilingue,11,Non.Temp.Red.IV,2,1356,A
1,5,Bilingue,12,Non.Temp.Red.IV,1,739,A
1,5,Bilingue,13,Non.Temp.Red.IV,2,2020,A
1,5,Bilingue,14,Non.Temp.Red.IV,2,1141,A
1,5,Bilingue,15,Non.Temp.Red.IV,1,844,A
1,5,Bilingue,16,Non.Temp.Red.IV,1,1459,A
1,5,Bilingue,17,Temp.Red.PV,2,940,A
1,5,Bilingue,18,Temp.Red.PV,2,1252,A
1,5,Bilingue,19,Temp.Red.PV,2,1252,A
1,5,Bilingue,20,Temp.Red.PV,2,1428,A
1,5,Bilingue,21,Temp.Red.PV,1,844,A
1,5,Bilingue,22,Temp.Red.PV,1,1028,A
1,5,Bilingue,23,Temp.Red.PV,2,988,A
1,5,Bilingue,24,Temp.Red.PV,1,940,A
2,5,Bilingue,1,Temp.Red.IV,1,2154,B
2,5,Bilingue,2,Temp.Red.IV,2,1198,B
2,5,Bilingue,3,Temp.Red.IV,1,2107,B
2,5,Bilingue,4,Temp.Red.IV,1,861,B
2,5,Bilingue,5,Temp.Red.IV,1,2011,B
2,5,Bilingue,6,Temp.Red.IV,1,959,B
2,5,Bilingue,7,Temp.Red.IV,2,1267,B
2,5,Bilingue,8,Temp.Red.IV,2,1052,B
2,5,Bilingue,9,Non.Temp.Red.IV,2,1628,B
2,5,Bilingue,10,Non.Temp.Red.IV,2,1170,B
2,5,Bilingue,11,Non.Temp.Red.IV,1,3784,B
2,5,Bilingue,12,Non.Temp.Red.IV,2,2455,B
2,5,Bilingue,13,Non.Temp.Red.IV,2,1097,B
2,5,Bilingue,14,Non.Temp.Red.IV,2,1560,B
2,5,Bilingue,15,Non.Temp.Red.IV,2,1234,B
2,5,Bilingue,16,Non.Temp.Red.IV,1,1168,B
2,5,Bilingue,17,Temp.Red.PV,1,938,B
2,5,Bilingue,18,Temp.Red.PV,1,959,B
2,5,Bilingue,19,Temp.Red.PV,2,2564,B
2,5,Bilingue,20,Temp.Red.PV,1,761,B
2,5,Bilingue,21,Temp.Red.PV,1,1441,B
2,5,Bilingue,22,Temp.Red.PV,1,809,B
2,5,Bilingue,23,Temp.Red.PV,2,1053,B
2,5,Bilingue,24,Temp.Red.PV,2,1602,B
7,5,Bilingue,1,Temp.Red.IV,1,1699,B
7,5,Bilingue,2,Temp.Red.IV,1,3532,B
7,5,Bilingue,3,Temp.Red.IV,2,2581,B
7,5,Bilingue,4,Temp.Red.IV,1,1542,B
7,5,Bilingue,5,Temp.Red.IV,1,2158,B
7,5,Bilingue,6,Temp.Red.IV,1,2482,B
7,5,Bilingue,7,Temp.Red.IV,1,1025,B
7,5,Bilingue,8,Temp.Red.IV,2,3291,B
7,5,Bilingue,9,Non.Temp.Red.IV,1,3628,B
7,5,Bilingue,10,Non.Temp.Red.IV,1,3172,B
7,5,Bilingue,11,Non.Temp.Red.IV,2,2818,B
7,5,Bilingue,12,Non.Temp.Red.IV,2,1568,B
7,5,Bilingue,13,Non.Temp.Red.IV,2,2980,B
7,5,Bilingue,14,Non.Temp.Red.IV,2,3988,B
7,5,Bilingue,15,Non.Temp.Red.IV,1,2902,B
7,5,Bilingue,16,Non.Temp.Red.IV,1,2932,B
7,5,Bilingue,17,Temp.Red.PV,1,2479,B
7,5,Bilingue,18,Temp.Red.PV,1,6631,B
7,5,Bilingue,19,Temp.Red.PV,2,3012,B
7,5,Bilingue,20,Temp.Red.PV,2,2085,B
7,5,Bilingue,21,Temp.Red.PV,1,2766,B
7,5,Bilingue,22,Temp.Red.PV,1,2126,B
7,5,Bilingue,23,Temp.Red.PV,2,1910,B
7,5,Bilingue,24,Temp.Red.PV,1,3383,B
10,5,Bilingue,1,Temp.Red.IV,2,1872,A
10,5,Bilingue,2,Temp.Red.IV,1,901,A
10,5,Bilingue,3,Temp.Red.IV,2,1327,A
10,5,Bilingue,4,Temp.Red.IV,1,1219,A
10,5,Bilingue,5,Temp.Red.IV,1,1849,A
10,5,Bilingue,6,Temp.Red.IV,1,1195,A
10,5,Bilingue,7,Temp.Red.IV,1,806,A
10,5,Bilingue,8,Temp.Red.IV,1,967,A
10,5,Bilingue,9,Non.Temp.Red.IV,2,1546,A
10,5,Bilingue,10,Non.Temp.Red.IV,1,1617,A
10,5,Bilingue,11,Non.Temp.Red.IV,2,1022,A
10,5,Bilingue,12,Non.Temp.Red.IV,2,1608,A
10,5,Bilingue,13,Non.Temp.Red.IV,2,1841,A
10,5,Bilingue,14,Non.Temp.Red.IV,1,768,A
10,5,Bilingue,15,Non.Temp.Red.IV,1,797,A
10,5,Bilingue,16,Non.Temp.Red.IV,1,1750,A
10,5,Bilingue,17,Temp.Red.PV,1,1081,A
10,5,Bilingue,18,Temp.Red.PV,1,826,A
10,5,Bilingue,19,Temp.Red.PV,1,840,A
10,5,Bilingue,20,Temp.Red.PV,1,1470,A
10,5,Bilingue,21,Temp.Red.PV,2,886,A
10,5,Bilingue,22,Temp.Red.PV,2,2514,A
10,5,Bilingue,23,Temp.Red.PV,2,1060,A
