Participante,VLT,Perfil,Frase,Condicao,Escolha,RT_Alvo
C3301,0,Bilingue,1,ThirdPSing,2,
C3301,0,Bilingue,2,ThirdPSing,2,
C3301,0,Bilingue,3,ThirdPSing,2,
C3301,0,Bilingue,4,ThirdPSing,2,
C3301,0,Bilingue,5,ThirdPSing,2,
C3301,0,Bilingue,6,ThirdPSing,2,
C3301,0,Bilingue,7,ThirdPSing,1,1332
C3301,0,Bilingue,8,ThirdPSing,2,
C3302,0,Bilingue,1,ThirdPSing,1,2079
C3302,0,Bilingue,2,ThirdPSing,1,1721
C3302,0,Bilingue,3,ThirdPSing,1,1736
C3302,0,Bilingue,4,ThirdPSing,1,2104
C3302,0,Bilingue,5,ThirdPSing,2,
C3302,0,Bilingue,6,ThirdPSing,1,2723
C3302,0,Bilingue,7,ThirdPSing,1,3428
C3302,0,Bilingue,8,ThirdPSing,2,
C3303,0,Bilingue,1,ThirdPSing,2,
C3303,0,Bilingue,2,ThirdPSing,1,1514
C3303,0,Bilingue,3,ThirdPSing,2,
C3303,0,Bilingue,4,ThirdPSing,2,
C3303,0,Bilingue,5,ThirdPSing,2,
C3303,0,Bilingue,6,ThirdPSing,2,
C3303,0,Bilingue,7,ThirdPSing,2,
C3303,0,Bilingue,8,ThirdPSing,2,
C3304,0,Bilingue,1,ThirdPSing,2,
C3304,0,Bilingue,2,ThirdPSing,1,2229
C3304,0,Bilingue,3,ThirdPSing,1,3266
C3304,0,Bilingue,4,ThirdPSing,1,2222
C3304,0,Bilingue,5,ThirdPSing,1,3201
C3304,0,Bilingue,6,ThirdPSing,2,
C3304,0,Bilingue,7,ThirdPSing,2,
C3304,0,Bilingue,8,ThirdPSing,2,
C3305,0,Bilingue,1,ThirdPSing,2,
C3305,0,Bilingue,2,ThirdPSing,2,
C3305,0,Bilingue,3,ThirdPSing,2,
C3305,0,Bilingue,4,ThirdPSing,2,
C3305,0,Bilingue,5,ThirdPSing,1,1048
C3305,0,Bilingue,6,ThirdPSing,2,
C3305,0,Bilingue,7,ThirdPSing,2,
C3305,0,Bilingue,8,ThirdPSing,2,
E1101,0,Bilingue,1,ThirdPSing,2,
E1101,0,Bilingue,2,ThirdPSing,1,1859
E1101,0,Bilingue,3,ThirdPSing,2,
E1101,0,Bilingue,4,ThirdPSing,1,2234
E1101,0,Bilingue,5,ThirdPSing,2,2917
E1101,0,Bilingue,6,ThirdPSing,1,3611
E1101,0,Bilingue,7,ThirdPSing,2,
E1101,0,Bilingue,8,ThirdPSing,2,
E1102,0,Bilingue,1,ThirdPSing,2,
E1102,0,Bilingue,2,ThirdPSing,2,
E1102,0,Bilingue,3,ThirdPSing,2,
E1102,0,Bilingue,4,ThirdPSing,2,
E1102,0,Bilingue,5,ThirdPSing,1,1278
E1102,0,Bilingue,6,ThirdPSing,2,
E1102,0,Bilingue,7,ThirdPSing,1,3940
E1102,0,Bilingue,8,ThirdPSing,2,
E1103,0,Bilingue,1,ThirdPSing,1,1765
E1103,0,Bilingue,2,ThirdPSing,1,2138
E1103,0,Bilingue,3,ThirdPSing,2,
E1103,0,Bilingue,4,ThirdPSing,2,
E1103,0,Bilingue,5,ThirdPSing,2,
E1103,0,Bilingue,6,ThirdPSing,2,
E1103,0,Bilingue,7,ThirdPSing,1,2979
E1103,0,Bilingue,8,ThirdPSing,1,1599
E1104,0,Bilingue,1,ThirdPSing,1,2349
E1104,0,Bilingue,2,ThirdPSing,2,
E1104,0,Bilingue,3,ThirdPSing,2,
E1104,0,Bilingue,4,ThirdPSing,2,
E1104,0,Bilingue,5,ThirdPSing,2,
E1104,0,Bilingue,6,ThirdPSing,2,
E1104,0,Bilingue,7,ThirdPSing,2,
E1104,0,Bilingue,8,ThirdPSing,2,
E1105,0,Bilingue,1,ThirdPSing,2,
E1105,0,Bilingue,2,ThirdPSing,1,959
E1105,0,Bilingue,3,ThirdPSing,2,
E1105,0,Bilingue,4,ThirdPSing,1,919
E1105,0,Bilingue,5,ThirdPSing,2,
E1105,0,Bilingue,6,ThirdPSing,2,
E1105,0,Bilingue,7,ThirdPSing,2,
E1105,0,Bilingue,8,ThirdPSing,1,1637
E1106,0,Bilingue,1,ThirdPSing,2,
